INFO 2020-07-20 19:00:04,590 basehttp 157 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2020-07-20 19:00:04,590 basehttp 157 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2020-07-20 19:00:04,591 basehttp 157 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2020-07-20 19:01:28,348 basehttp 157 "POST /admin/auth/group/add/ HTTP/1.1" 302 0
INFO 2020-07-20 19:01:28,392 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 4817
INFO 2020-07-20 19:01:28,416 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:01:28,439 basehttp 157 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2020-07-20 19:01:30,120 basehttp 157 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 6994
INFO 2020-07-20 19:01:30,144 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:01:34,845 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 4639
INFO 2020-07-20 19:01:34,870 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:01:35,931 basehttp 157 "GET /admin/ HTTP/1.1" 200 2895
INFO 2020-07-20 19:01:38,684 basehttp 157 "GET /admin/ HTTP/1.1" 200 2895
INFO 2020-07-20 19:01:41,269 basehttp 157 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 6994
INFO 2020-07-20 19:01:41,298 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:01:42,916 basehttp 157 "GET /admin/ HTTP/1.1" 200 2895
INFO 2020-07-20 19:01:45,239 basehttp 157 "GET /admin/auth/group/add/ HTTP/1.1" 200 6771
INFO 2020-07-20 19:01:45,270 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:01:59,401 basehttp 157 "POST /admin/auth/group/add/ HTTP/1.1" 302 0
INFO 2020-07-20 19:01:59,443 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 5023
INFO 2020-07-20 19:01:59,467 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:02:02,117 basehttp 157 "GET /admin/auth/group/2/change/ HTTP/1.1" 200 6975
INFO 2020-07-20 19:02:02,143 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
